ESTRUCTURA DE LA BASE DE DATOS||||||||||||||||||||||
FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERAVCIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN|OBSERVACIONES REFERIDAS AL ANÁLISIS DEL COMPORTAMIENTO
FECHA|VIA|LOCALIZACION|PERÍODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES|OBSERVACIONES AUX
41674.0|AK_10|AC_19|245.0|3.0|23.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0||
41674.0|AK_10|AC_19|300.0|3.0|16.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|1.0||
41674.0|AK_10|AC_19|315.0|3.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|330.0|3.0|14.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|345.0|3.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|400.0|3.0|13.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0||
41674.0|AK_10|AC_19|415.0|3.0|16.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|6.0|0.0||
41674.0|AK_10|AC_19|430.0|3.0|18.0|6.0|3.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|445.0|3.0|18.0|9.0|6.0|2.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|13.0|1.0||
41674.0|AK_10|AC_19|500.0|3.0|24.0|6.0|12.0|3.0|0.0|0.0|0.0|1.0|0.0|1.0|4.0|0.0|0.0|0.0|40.0|1.0||
41674.0|AK_10|AC_19|515.0|3.0|34.0|9.0|8.0|10.0|0.0|0.0|0.0|2.0|0.0|2.0|1.0|0.0|0.0|0.0|25.0|4.0||
41674.0|AK_10|AC_19|530.0|3.0|62.0|19.0|12.0|16.0|0.0|0.0|0.0|6.0|0.0|0.0|1.0|0.0|0.0|0.0|38.0|3.0||
41674.0|AK_10|AC_19|545.0|3.0|89.0|19.0|11.0|16.0|0.0|0.0|0.0|2.0|0.0|1.0|4.0|0.0|0.0|0.0|45.0|3.0||
41674.0|AK_10|AC_19|2200.0|4.0|72.0|15.0|5.0|11.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|48.0|2.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2215.0|4.0|82.0|9.0|10.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|34.0|1.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2230.0|4.0|71.0|8.0|15.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|13.0|1.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2245.0|4.0|55.0|5.0|14.0|6.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|3.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2300.0|4.0|47.0|4.0|7.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|1.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2315.0|4.0|45.0|3.0|8.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2330.0|4.0|40.0|4.0|9.0|8.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|2345.0|4.0|41.0|1.0|7.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|3.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|0.0|4.0|35.0|0.0|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|15.0|4.0|41.0|0.0|5.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|30.0|4.0|32.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|45.0|4.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|LIVIANOS CON CONTADOR|
41674.0|AK_10|AC_19|100.0|4.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0||
